,#,Jugadores,Min,Pts,TC,2 Pts,3 Pts,TL,REBO,REBD,REB,AST,FP,TO,ROB,BLQ,+/-,EFF,TCc,TCi,2Pc,2Pi,3Pc,3Pi,TLc,TLi,game,Res,PTS_OPP,TCi_OPP,TCc_OPP,2Pi_OPP,2Pc_OPP,3Pi_OPP,3Pc_OPP,TLi_OPP,TLc_OPP,RO_OPP,RD_OPP,AST_OPP,TO_OPP,ROB_OPP,FP_OPP
13,Totales,Italia,200,78.0,28/60  46.7%,17/39  43.6%,11/21  52.4%,11/15  73.3%,8.0,28.0,36.0,19.0,27.0,15.0,3.0,1.0,2,85,28.0,60.0,17.0,39.0,11.0,21.0,11.0,15.0,/es/basketballworldcup/2023/game/0109/Serbia-Italy,1.0,76.0,58.0,21.0,27.0,14.0,31.0,7.0,32.0,27.0,9.0,25.0,15.0,11.0,7.0,19.0
13,Totales,Alemania,200,100.0,33/63  52.4%,13/28  46.4%,20/35  57.1%,14/25  56%,9.0,27.0,36.0,33.0,22.0,12.0,10.0,2.0,27,126,33.0,63.0,13.0,28.0,20.0,35.0,14.0,25.0,/es/basketballworldcup/2023/game/0109/Alemania-Georgia,1.0,73.0,62.0,26.0,36.0,19.0,26.0,7.0,18.0,14.0,9.0,24.0,18.0,18.0,5.0,20.0
13,Totales,Georgia,200,73.0,26/62  41.9%,19/36  52.8%,7/26  26.9%,14/18  77.8%,9.0,24.0,33.0,18.0,20.0,18.0,5.0,3.0,-27,69,26.0,62.0,19.0,36.0,7.0,26.0,14.0,18.0,/es/basketballworldcup/2023/game/0109/Alemania-Georgia,0.0,100.0,63.0,33.0,28.0,13.0,35.0,20.0,25.0,14.0,9.0,27.0,33.0,12.0,10.0,22.0
13,Totales,USA,200,85.0,30/63  47.6%,25/44  56.8%,5/19  26.3%,20/30  66.7%,8.0,23.0,31.0,19.0,19.0,12.0,14.0,2.0,12,94,30.0,63.0,25.0,44.0,5.0,19.0,20.0,30.0,/es/basketballworldcup/2023/game/0109/USA-Montenegro,1.0,73.0,75.0,30.0,55.0,25.0,20.0,5.0,12.0,8.0,23.0,26.0,17.0,22.0,5.0,24.0
13,Totales,Montenegro,200,73.0,30/75  40%,25/55  45.5%,5/20  25%,8/12  66.7%,23.0,26.0,49.0,17.0,24.0,22.0,5.0,3.0,-12,75,30.0,75.0,25.0,55.0,5.0,20.0,8.0,12.0,/es/basketballworldcup/2023/game/0109/USA-Montenegro,0.0,85.0,63.0,30.0,44.0,25.0,19.0,5.0,30.0,20.0,8.0,23.0,19.0,12.0,14.0,19.0
13,Totales,España,200,69.0,21/53  39.6%,14/32  43.8%,7/21  33.3%,20/31  64.5%,10.0,24.0,34.0,23.0,24.0,16.0,7.0,1.0,-5,71,21.0,53.0,14.0,32.0,7.0,21.0,20.0,31.0,/es/basketballworldcup/2023/game/0109/España-Letonia,0.0,74.0,59.0,26.0,34.0,18.0,25.0,8.0,19.0,14.0,10.0,26.0,15.0,16.0,7.0,26.0
13,Totales,Letonia,200,74.0,26/59  44.1%,18/34  52.9%,8/25  32%,14/19  73.7%,10.0,26.0,36.0,15.0,26.0,16.0,7.0,3.0,5,75,26.0,59.0,18.0,34.0,8.0,25.0,14.0,19.0,/es/basketballworldcup/2023/game/0109/España-Letonia,1.0,69.0,53.0,21.0,32.0,14.0,21.0,7.0,31.0,20.0,10.0,24.0,23.0,16.0,7.0,24.0
13,Totales,República Dominicana,200,97.0,34/73  46.6%,23/45  51.1%,11/28  39.3%,18/23  78.3%,11.0,26.0,37.0,22.0,23.0,9.0,5.0,2.0,-5,105,34.0,73.0,23.0,45.0,11.0,28.0,18.0,23.0,/es/basketballworldcup/2023/game/0109/República-Dominicana-Puerto-Rico,0.0,102.0,61.0,34.0,35.0,23.0,26.0,11.0,29.0,23.0,5.0,29.0,20.0,14.0,7.0,21.0
13,Totales,Puerto Rico,200,102.0,34/61  55.7%,23/35  65.7%,11/26  42.3%,23/29  79.3%,5.0,29.0,34.0,20.0,21.0,14.0,7.0,4.0,5,118,34.0,61.0,23.0,35.0,11.0,26.0,23.0,29.0,/es/basketballworldcup/2023/game/0109/República-Dominicana-Puerto-Rico,1.0,97.0,73.0,34.0,45.0,23.0,28.0,11.0,23.0,18.0,11.0,26.0,22.0,9.0,5.0,23.0
13,Totales,Eslovenia,200,91.0,32/68  47.1%,19/26  73.1%,13/42  31%,14/17  82.4%,9.0,30.0,39.0,23.0,26.0,12.0,7.0,2.0,11,111,32.0,68.0,19.0,26.0,13.0,42.0,14.0,17.0,/es/basketballworldcup/2023/game/0109/Slovenia-Australia,1.0,80.0,62.0,27.0,38.0,19.0,24.0,8.0,23.0,18.0,6.0,25.0,15.0,13.0,6.0,21.0
